,state,location,so2,no2,rspm,spm,date,New Date,year,month
35158,Delhi,Delhi,6.8,53.5,293.0,563.0,1/2/2007,2013-01-02,2013,1
35159,Delhi,Delhi,4.8,28.5,104.0,256.0,1/2/2007,2013-01-02,2013,1
35168,Delhi,Delhi,4.3,26.3,79.0,175.0,1/3/2007,2013-01-03,2013,1
35169,Delhi,Delhi,4.0,14.0,,105.0,1/3/2007,2013-01-03,2013,1
35191,Delhi,Delhi,7.3,59.0,114.0,418.0,1/5/2007,2013-01-05,2013,1
35192,Delhi,Delhi,4.7,51.0,,599.0,1/5/2007,2013-01-05,2013,1
35199,Delhi,Delhi,3.6,47.6,199.0,480.0,1/5/2007,2013-01-05,2013,1
35222,Delhi,Delhi,4.7,39.7,456.0,441.039979757085,1/5/2007,2013-01-05,2013,1
35223,Delhi,Delhi,4.2,40.5,,355.0,1/6/2007,2013-01-06,2013,1
35224,Delhi,Delhi,4.0,36.2,185.0,441.039979757085,1/6/2007,2013-01-06,2013,1
35225,Delhi,Delhi,6.226823081800888,51.7,44.0,114.0,1/8/2007,2013-01-08,2013,1
35226,Delhi,Delhi,4.0,36.0,77.0,206.0,1/8/2007,2013-01-08,2013,1
35227,Delhi,Delhi,4.3,37.7,55.0,278.0,1/8/2007,2013-01-08,2013,1
35252,Delhi,Delhi,6.226823081800888,79.2,48.0,91.0,1/8/2007,2013-01-08,2013,1
35269,Delhi,Delhi,4.0,42.0,76.0,293.0,1/10/2007,2013-01-10,2013,1
35270,Delhi,Delhi,4.2,37.2,121.0,337.0,1/10/2007,2013-01-10,2013,1
35271,Delhi,Delhi,4.0,33.5,272.0,569.0,1/11/2007,2013-01-11,2013,1
35272,Delhi,Delhi,4.2,51.2,510.0,441.039979757085,1/11/2007,2013-01-11,2013,1
35273,Delhi,Delhi,6.3,66.2,172.0,301.0,1/15/2007,2013-01-15,2013,1
35274,Delhi,Delhi,4.7,59.5,,443.0,1/15/2007,2013-01-15,2013,1
35286,Delhi,Delhi,4.7,62.7,233.0,446.0,1/16/2007,2013-01-16,2013,1
35287,Delhi,Delhi,4.7,59.3,116.0,276.0,1/16/2007,2013-01-16,2013,1
35288,Delhi,Delhi,4.0,46.5,223.0,455.0,1/17/2007,2013-01-17,2013,1
35323,Delhi,Delhi,4.5,53.2,184.0,351.0,1/18/2007,2013-01-18,2013,1
35324,Delhi,Delhi,5.0,54.7,220.0,525.0,1/18/2007,2013-01-18,2013,1
35337,Delhi,Delhi,5.0,58.8,127.0,427.0,1/19/2007,2013-01-19,2013,1
35386,Delhi,Delhi,4.0,57.7,106.0,287.0,1/19/2007,2013-01-19,2013,1
35387,Delhi,Delhi,4.7,60.5,,427.0,1/22/2007,2013-01-22,2013,1
35388,Delhi,Delhi,4.5,56.0,308.0,496.0,1/22/2007,2013-01-22,2013,1
35389,Delhi,Delhi,5.2,62.3,140.0,308.0,1/23/2007,2013-01-23,2013,1
35390,Delhi,Delhi,4.7,50.7,298.0,587.0,1/23/2007,2013-01-23,2013,1
35391,Delhi,Delhi,4.7,50.8,241.0,443.0,1/24/2007,2013-01-24,2013,1
35403,Delhi,Delhi,4.3,47.2,103.0,236.0,1/24/2007,2013-01-24,2013,1
35404,Delhi,Delhi,4.0,51.0,,261.0,1/25/2007,2013-01-25,2013,1
35405,Delhi,Delhi,4.0,45.7,241.0,477.0,1/25/2007,2013-01-25,2013,1
35425,Delhi,Delhi,4.3,36.0,166.0,427.0,1/29/2007,2013-01-29,2013,1
35426,Delhi,Delhi,4.7,38.0,156.0,514.0,1/29/2007,2013-01-29,2013,1
35473,Delhi,Delhi,4.3,46.2,235.0,281.0,2/1/2007,2013-02-01,2013,2
35474,Delhi,Delhi,6.2,60.0,181.0,397.0,2/1/2007,2013-02-01,2013,2
35488,Delhi,Delhi,4.0,23.2,,280.0,2/2/2007,2013-02-02,2013,2
35534,Delhi,Delhi,5.0,40.5,351.0,694.0,2/2/2007,2013-02-02,2013,2
35546,Delhi,Delhi,4.0,26.3,113.0,246.0,2/3/2007,2013-02-03,2013,2
35547,Delhi,Delhi,4.7,28.2,59.0,222.0,2/3/2007,2013-02-03,2013,2
35548,Delhi,Delhi,6.2,30.0,79.0,284.0,2/4/2007,2013-02-04,2013,2
35583,Delhi,Delhi,5.2,58.3,86.0,275.0,2/4/2007,2013-02-04,2013,2
35598,Delhi,Delhi,11.2,92.2,111.0,275.0,2/5/2007,2013-02-05,2013,2
35599,Delhi,Delhi,10.4,96.9,116.0,278.0,2/5/2007,2013-02-05,2013,2
35638,Delhi,Delhi,4.0,41.7,70.0,240.0,2/7/2007,2013-02-07,2013,2
35639,Delhi,Delhi,4.0,38.0,120.0,164.0,2/7/2007,2013-02-07,2013,2
35640,Delhi,Delhi,3.0,60.4,57.0,129.0,2/8/2007,2013-02-08,2013,2
35641,Delhi,Delhi,4.0,36.5,,188.0,2/8/2007,2013-02-08,2013,2
35642,Delhi,Delhi,6.226823081800888,55.4,32.0,76.0,2/8/2007,2013-02-08,2013,2
35648,Delhi,Delhi,4.0,30.4,28.0,75.0,2/8/2007,2013-02-08,2013,2
35649,Delhi,Delhi,14.0,121.0,500.0,887.0,2/11/2007,2013-02-11,2013,2
35650,Delhi,Delhi,5.0,61.5,294.0,713.0,2/11/2007,2013-02-11,2013,2
35651,Delhi,Delhi,4.0,31.5,,473.0,2/11/2007,2013-02-11,2013,2
35652,Delhi,Delhi,6.8,32.4,77.0,118.0,2/13/2007,2013-02-13,2013,2
35653,Delhi,Delhi,5.0,36.8,81.0,184.0,2/13/2007,2013-02-13,2013,2
35660,Delhi,Delhi,9.2,58.6,86.0,236.0,2/13/2007,2013-02-13,2013,2
35661,Delhi,Delhi,5.3,58.8,264.0,530.0,2/14/2007,2013-02-14,2013,2
35662,Delhi,Delhi,4.3,22.3,,160.0,2/14/2007,2013-02-14,2013,2
35697,Delhi,Delhi,11.0,73.0,193.0,562.0,2/14/2007,2013-02-14,2013,2
35698,Delhi,Delhi,4.0,23.5,,179.0,2/15/2007,2013-02-15,2013,2
35744,Delhi,Delhi,4.5,32.2,135.0,209.0,2/15/2007,2013-02-15,2013,2
35745,Delhi,Delhi,15.4,55.5,200.0,391.0,2/16/2007,2013-02-16,2013,2
35746,Delhi,Delhi,4.8,56.7,120.0,223.0,2/16/2007,2013-02-16,2013,2
35764,Delhi,Delhi,16.6,59.0,173.0,372.0,2/17/2007,2013-02-17,2013,2
35765,Delhi,Delhi,8.4,59.0,131.0,199.0,2/17/2007,2013-02-17,2013,2
35822,Delhi,Delhi,4.0,30.7,98.0,234.0,2/19/2007,2013-02-19,2013,2
35875,Delhi,Delhi,4.2,31.2,153.0,375.0,2/19/2007,2013-02-19,2013,2
35876,Delhi,Delhi,15.9,38.1,186.0,373.0,2/20/2007,2013-02-20,2013,2
35926,Delhi,Delhi,5.2,51.0,110.0,322.0,2/20/2007,2013-02-20,2013,2
35966,Delhi,Delhi,6.1,51.4,141.0,223.0,2/20/2007,2013-02-20,2013,2
35967,Delhi,Delhi,12.9,53.0,120.0,401.0,2/20/2007,2013-02-20,2013,2
35968,Delhi,Delhi,20.6,49.6,215.0,480.0,2/21/2007,2013-02-21,2013,2
35969,Delhi,Delhi,9.5,60.3,152.0,299.0,2/21/2007,2013-02-21,2013,2
35970,Delhi,Delhi,4.0,26.7,,197.0,2/21/2007,2013-02-21,2013,2
35971,Delhi,Delhi,4.3,37.7,166.0,335.0,2/21/2007,2013-02-21,2013,2
35999,Delhi,Delhi,17.3,73.3,138.0,485.0,2/21/2007,2013-02-21,2013,2
