,state,location,so2,no2,rspm,spm,date,New Date,year,month
134,Maharashtra,Navi Mumbai,45.7,54.5,153.0,510.0,1/2/2007,2013-01-02,2013,1
135,Maharashtra,Navi Mumbai,43.2,42.3,131.0,245.0,1/2/2007,2013-01-02,2013,1
259,Maharashtra,Navi Mumbai,46.2,37.5,125.0,277.0,1/3/2007,2013-01-03,2013,1
260,Maharashtra,Navi Mumbai,8.5,25.5,116.0,288.0,1/3/2007,2013-01-03,2013,1
381,Maharashtra,Navi Mumbai,10.6,17.2,65.0,173.0,1/5/2007,2013-01-05,2013,1
382,Maharashtra,Navi Mumbai,5.8,51.0,121.0,285.0,1/5/2007,2013-01-05,2013,1
466,Maharashtra,Navi Mumbai,16.991996279226868,40.074076761816656,89.0,191.0,1/6/2007,2013-01-06,2013,1
467,Maharashtra,Navi Mumbai,6.3,15.0,53.0,159.0,1/6/2007,2013-01-06,2013,1
583,Maharashtra,Navi Mumbai,5.7,11.2,41.0,78.0,1/8/2007,2013-01-08,2013,1
584,Maharashtra,Navi Mumbai,6.7,17.7,22.0,45.0,1/8/2007,2013-01-08,2013,1
659,Maharashtra,Navi Mumbai,5.8,39.2,22.0,78.0,1/9/2007,2013-01-09,2013,1
660,Maharashtra,Navi Mumbai,6.7,16.3,59.0,105.0,1/9/2007,2013-01-09,2013,1
767,Maharashtra,Navi Mumbai,40.8,31.0,69.0,189.0,1/10/2007,2013-01-10,2013,1
768,Maharashtra,Navi Mumbai,18.5,21.0,51.0,104.0,1/10/2007,2013-01-10,2013,1
888,Maharashtra,Navi Mumbai,11.5,27.5,202.0,427.0,1/11/2007,2013-01-11,2013,1
889,Maharashtra,Navi Mumbai,7.0,46.5,129.0,164.0,1/11/2007,2013-01-11,2013,1
992,Maharashtra,Navi Mumbai,26.3,45.2,291.0,496.0,1/12/2007,2013-01-12,2013,1
993,Maharashtra,Navi Mumbai,17.8,43.8,120.0,552.0,1/12/2007,2013-01-12,2013,1
1068,Maharashtra,Navi Mumbai,15.5,16.8,110.0,297.0,1/13/2007,2013-01-13,2013,1
1069,Maharashtra,Navi Mumbai,8.3,24.8,167.0,320.0,1/13/2007,2013-01-13,2013,1
1176,Maharashtra,Navi Mumbai,15.7,18.8,157.0,202.0,1/15/2007,2013-01-15,2013,1
1177,Maharashtra,Navi Mumbai,27.7,41.3,141.0,292.0,1/15/2007,2013-01-15,2013,1
1300,Maharashtra,Navi Mumbai,27.0,29.2,137.0,313.0,1/16/2007,2013-01-16,2013,1
1301,Maharashtra,Navi Mumbai,77.2,25.8,113.0,225.0,1/16/2007,2013-01-16,2013,1
1412,Maharashtra,Navi Mumbai,52.0,30.0,161.0,561.0,1/17/2007,2013-01-17,2013,1
1413,Maharashtra,Navi Mumbai,13.7,51.8,183.0,416.0,1/17/2007,2013-01-17,2013,1
1511,Maharashtra,Navi Mumbai,19.2,51.8,221.0,358.0,1/18/2007,2013-01-18,2013,1
1512,Maharashtra,Navi Mumbai,38.6,49.6,404.0,571.0,1/18/2007,2013-01-18,2013,1
1635,Maharashtra,Navi Mumbai,38.0,32.8,183.0,376.0,1/19/2007,2013-01-19,2013,1
1636,Maharashtra,Navi Mumbai,32.8,43.6,205.0,307.0,1/19/2007,2013-01-19,2013,1
1722,Maharashtra,Navi Mumbai,102.2,34.8,184.0,483.0,1/20/2007,2013-01-20,2013,1
1723,Maharashtra,Navi Mumbai,17.8,52.0,192.0,636.0,1/20/2007,2013-01-20,2013,1
1853,Maharashtra,Navi Mumbai,42.0,38.5,67.0,462.0,1/22/2007,2013-01-22,2013,1
1854,Maharashtra,Navi Mumbai,16.991996279226868,40.074076761816656,,265.7899391927446,1/22/2007,2013-01-22,2013,1
1975,Maharashtra,Navi Mumbai,37.8,39.9,136.0,405.0,1/23/2007,2013-01-23,2013,1
1976,Maharashtra,Navi Mumbai,6.8,48.5,135.0,265.7899391927446,1/23/2007,2013-01-23,2013,1
2079,Maharashtra,Navi Mumbai,45.2,27.0,201.0,435.0,1/24/2007,2013-01-24,2013,1
2080,Maharashtra,Navi Mumbai,10.3,54.0,167.0,483.0,1/24/2007,2013-01-24,2013,1
2202,Maharashtra,Navi Mumbai,5.8,65.5,86.0,241.0,1/25/2007,2013-01-25,2013,1
2203,Maharashtra,Navi Mumbai,16.991996279226868,40.074076761816656,,265.7899391927446,1/25/2007,2013-01-25,2013,1
2332,Maharashtra,Navi Mumbai,33.4,23.5,122.0,349.0,1/27/2007,2013-01-27,2013,1
2333,Maharashtra,Navi Mumbai,11.3,47.0,85.0,214.0,1/27/2007,2013-01-27,2013,1
2464,Maharashtra,Navi Mumbai,57.8,84.3,89.0,190.0,1/29/2007,2013-01-29,2013,1
2465,Maharashtra,Navi Mumbai,16.991996279226868,40.074076761816656,152.0,324.0,1/29/2007,2013-01-29,2013,1
2647,Maharashtra,Navi Mumbai,27.7,29.2,161.0,472.0,1/31/2007,2013-01-31,2013,1
2648,Maharashtra,Navi Mumbai,7.8,30.0,133.0,354.0,1/31/2007,2013-01-31,2013,1
2748,Maharashtra,Navi Mumbai,111.7,21.5,98.0,296.0,2/1/2007,2013-02-01,2013,2
2749,Maharashtra,Navi Mumbai,12.3,26.5,35.0,344.0,2/1/2007,2013-02-01,2013,2
2864,Maharashtra,Navi Mumbai,13.0,29.2,141.0,248.0,2/2/2007,2013-02-02,2013,2
2865,Maharashtra,Navi Mumbai,42.2,57.8,155.0,290.0,2/2/2007,2013-02-02,2013,2
2962,Maharashtra,Navi Mumbai,16.991996279226868,40.074076761816656,139.0,269.0,2/3/2007,2013-02-03,2013,2
2963,Maharashtra,Navi Mumbai,12.4,26.8,,265.7899391927446,2/3/2007,2013-02-03,2013,2
3074,Maharashtra,Navi Mumbai,24.3,35.3,106.0,173.0,2/4/2007,2013-02-04,2013,2
3075,Maharashtra,Navi Mumbai,16.0,44.8,85.0,143.0,2/4/2007,2013-02-04,2013,2
3179,Maharashtra,Navi Mumbai,16.5,19.0,63.0,197.0,2/5/2007,2013-02-05,2013,2
3180,Maharashtra,Navi Mumbai,15.2,36.7,87.0,241.0,2/5/2007,2013-02-05,2013,2
3267,Maharashtra,Navi Mumbai,8.0,21.5,43.0,68.0,2/6/2007,2013-02-06,2013,2
3268,Maharashtra,Navi Mumbai,8.7,29.3,53.0,276.0,2/6/2007,2013-02-06,2013,2
3370,Maharashtra,Navi Mumbai,18.8,15.3,53.0,96.0,2/7/2007,2013-02-07,2013,2
3371,Maharashtra,Navi Mumbai,3.5,18.3,25.0,64.0,2/7/2007,2013-02-07,2013,2
3499,Maharashtra,Navi Mumbai,5.7,39.5,52.0,89.0,2/8/2007,2013-02-08,2013,2
3500,Maharashtra,Navi Mumbai,4.5,13.0,26.0,69.0,2/8/2007,2013-02-08,2013,2
3594,Maharashtra,Navi Mumbai,6.5,30.8,63.0,86.0,2/10/2007,2013-02-10,2013,2
3595,Maharashtra,Navi Mumbai,10.2,24.0,94.0,170.0,2/10/2007,2013-02-10,2013,2
3679,Maharashtra,Navi Mumbai,5.3,24.8,77.0,105.0,2/11/2007,2013-02-11,2013,2
3680,Maharashtra,Navi Mumbai,9.8,29.7,60.0,111.0,2/11/2007,2013-02-11,2013,2
3808,Maharashtra,Navi Mumbai,25.0,26.8,129.0,243.0,2/13/2007,2013-02-13,2013,2
3809,Maharashtra,Navi Mumbai,14.2,51.2,157.0,246.0,2/13/2007,2013-02-13,2013,2
3910,Maharashtra,Navi Mumbai,5.7,29.3,102.0,234.0,2/14/2007,2013-02-14,2013,2
3911,Maharashtra,Navi Mumbai,11.5,31.2,124.0,477.0,2/14/2007,2013-02-14,2013,2
4019,Maharashtra,Navi Mumbai,13.8,45.8,140.0,210.0,2/15/2007,2013-02-15,2013,2
4020,Maharashtra,Navi Mumbai,91.5,55.2,139.0,253.0,2/15/2007,2013-02-15,2013,2
4131,Maharashtra,Navi Mumbai,12.2,11.4,166.0,304.0,2/16/2007,2013-02-16,2013,2
4132,Maharashtra,Navi Mumbai,29.2,28.4,114.0,548.0,2/16/2007,2013-02-16,2013,2
4211,Maharashtra,Navi Mumbai,41.3,28.5,173.0,482.0,2/17/2007,2013-02-17,2013,2
4212,Maharashtra,Navi Mumbai,15.2,36.8,139.0,409.0,2/17/2007,2013-02-17,2013,2
4342,Maharashtra,Navi Mumbai,21.3,46.5,164.0,289.0,2/19/2007,2013-02-19,2013,2
4343,Maharashtra,Navi Mumbai,4.8,16.5,246.0,373.0,2/19/2007,2013-02-19,2013,2
4459,Maharashtra,Navi Mumbai,22.3,34.4,141.0,279.0,2/20/2007,2013-02-20,2013,2
4460,Maharashtra,Navi Mumbai,17.2,37.7,119.0,414.0,2/20/2007,2013-02-20,2013,2
