,state,location,so2,no2,rspm,spm,date,New Date,year,month
71418,Andhra Pradesh,Hyderabad,4.999715966727531,25.29017445357932,91.0,132.0,1/2/2007,2013-01-02,2013,1
71419,Andhra Pradesh,Hyderabad,8.5,34.8,97.0,279.0,1/2/2007,2013-01-02,2013,1
71424,Andhra Pradesh,Hyderabad,7.3,10.9,68.0,177.0,1/2/2007,2013-01-02,2013,1
71425,Andhra Pradesh,Hyderabad,5.6,34.5,128.0,314.0,1/13/2007,2013-01-13,2013,1
71426,Andhra Pradesh,Hyderabad,5.5,32.0,108.0,313.0,1/13/2007,2013-01-13,2013,1
71427,Andhra Pradesh,Hyderabad,5.2,37.3,116.0,378.0,1/14/2007,2013-01-14,2013,1
71428,Andhra Pradesh,Hyderabad,5.3,33.0,131.0,337.0,1/14/2007,2013-01-14,2013,1
71429,Andhra Pradesh,Hyderabad,4.2,16.1,62.0,148.0,1/14/2007,2013-01-14,2013,1
71430,Andhra Pradesh,Hyderabad,5.5,56.7,105.0,334.0,1/16/2007,2013-01-16,2013,1
71431,Andhra Pradesh,Hyderabad,5.2,43.6,152.0,370.0,1/16/2007,2013-01-16,2013,1
71444,Andhra Pradesh,Hyderabad,4.3,16.9,70.0,177.0,1/16/2007,2013-01-16,2013,1
71445,Andhra Pradesh,Hyderabad,5.0,42.0,119.0,343.0,1/17/2007,2013-01-17,2013,1
71454,Andhra Pradesh,Hyderabad,5.3,49.5,116.0,325.0,1/17/2007,2013-01-17,2013,1
71455,Andhra Pradesh,Hyderabad,4.8,16.4,85.0,161.0,1/17/2007,2013-01-17,2013,1
71456,Andhra Pradesh,Hyderabad,7.2,66.6,169.0,433.0,1/20/2007,2013-01-20,2013,1
71457,Andhra Pradesh,Hyderabad,5.8,36.1,172.0,497.0,1/20/2007,2013-01-20,2013,1
71458,Andhra Pradesh,Hyderabad,4.4,18.6,96.0,195.0,1/20/2007,2013-01-20,2013,1
71480,Andhra Pradesh,Hyderabad,5.2,49.2,133.0,401.0,1/21/2007,2013-01-21,2013,1
71481,Andhra Pradesh,Hyderabad,5.4,79.5,158.0,329.0,1/21/2007,2013-01-21,2013,1
71491,Andhra Pradesh,Hyderabad,4.4,19.0,68.0,168.0,1/21/2007,2013-01-21,2013,1
71527,Andhra Pradesh,Hyderabad,7.2,66.6,192.0,386.0,1/22/2007,2013-01-22,2013,1
71528,Andhra Pradesh,Hyderabad,7.3,51.4,167.0,430.0,1/22/2007,2013-01-22,2013,1
71571,Andhra Pradesh,Hyderabad,4.4,19.1,75.0,147.0,1/22/2007,2013-01-22,2013,1
71583,Andhra Pradesh,Hyderabad,4.8,30.7,77.0,297.0,1/23/2007,2013-01-23,2013,1
71623,Andhra Pradesh,Hyderabad,5.3,53.2,141.0,368.0,1/23/2007,2013-01-23,2013,1
71624,Andhra Pradesh,Hyderabad,4.7,16.2,76.0,212.0,1/23/2007,2013-01-23,2013,1
71625,Andhra Pradesh,Hyderabad,5.1,35.7,118.0,321.0,1/26/2007,2013-01-26,2013,1
71626,Andhra Pradesh,Hyderabad,5.2,31.0,140.0,349.0,1/26/2007,2013-01-26,2013,1
71628,Andhra Pradesh,Hyderabad,5.0,33.5,88.0,272.0,1/27/2007,2013-01-27,2013,1
71629,Andhra Pradesh,Hyderabad,4.5,16.2,93.0,215.0,1/27/2007,2013-01-27,2013,1
71630,Andhra Pradesh,Hyderabad,5.1,35.5,136.0,319.0,1/27/2007,2013-01-27,2013,1
71631,Andhra Pradesh,Hyderabad,5.5,34.9,163.0,344.0,1/28/2007,2013-01-28,2013,1
71632,Andhra Pradesh,Hyderabad,5.1,33.0,86.0,284.0,1/29/2007,2013-01-29,2013,1
71633,Andhra Pradesh,Hyderabad,4.9,17.3,45.0,146.0,1/29/2007,2013-01-29,2013,1
71641,Andhra Pradesh,Hyderabad,4.9,49.1,111.0,275.0,1/31/2007,2013-01-31,2013,1
71642,Andhra Pradesh,Hyderabad,5.7,40.7,136.0,367.0,2/1/2007,2013-02-01,2013,2
71643,Andhra Pradesh,Hyderabad,4.2,18.8,75.0,134.0,2/1/2007,2013-02-01,2013,2
71671,Andhra Pradesh,Hyderabad,5.6,36.4,113.0,327.0,2/2/2007,2013-02-02,2013,2
71681,Andhra Pradesh,Hyderabad,4.9,29.6,91.0,282.0,2/2/2007,2013-02-02,2013,2
71721,Andhra Pradesh,Hyderabad,4.7,15.3,58.0,163.0,2/2/2007,2013-02-02,2013,2
71722,Andhra Pradesh,Hyderabad,5.1,32.6,112.0,311.0,2/2/2007,2013-02-02,2013,2
71723,Andhra Pradesh,Hyderabad,5.2,35.4,126.0,334.0,2/3/2007,2013-02-03,2013,2
71741,Andhra Pradesh,Hyderabad,5.3,35.8,153.0,337.0,2/3/2007,2013-02-03,2013,2
